Date,Team1,Team2,Score1,Score2,ET,PSO,Location,HomeTeam,Type,Info
09/10/2004,Croatia,Bulgaria,2,2,0,0,Zagreb,1,FIFAWorldCup™Qualifier,0
09/10/2004,Sudan,Cameroon,1,1,0,0,Omdurman,1,FIFAWorldCup™Qualifier,0
09/10/2004,FYRMacedonia,Netherlands,2,2,0,0,Skopje,1,FIFAWorldCup™Qualifier,0
09/10/2004,Austria,Poland,1,3,0,0,Vienna,1,FIFAWorldCup™Qualifier,0
09/10/2004,Albania,Denmark,0,2,0,0,Tirana,1,FIFAWorldCup™Qualifier,0
09/10/2004,Venezuela,Brazil,2,5,0,0,Maracaibo,1,FIFAWorldCup™Qualifier,0
09/10/2004,Slovenia,Italy,1,0,0,0,Celje,1,FIFAWorldCup™Qualifier,0
09/10/2004,France,RepublicofIreland,0,0,0,0,Saint-Denis,1,FIFAWorldCup™Qualifier,0
09/10/2004,Azerbaijan,NorthernIreland,0,0,0,0,Baku,1,FIFAWorldCup™Qualifier,0
09/10/2004,Spain,Belgium,2,0,0,0,Santander,1,FIFAWorldCup™Qualifier,0
10/10/2004,Ghana,CongoDR,0,0,0,0,Kumasi,1,FIFAWorldCup™Qualifier,0
10/10/2004,Congo,Zambia,2,3,0,0,Brazzaville,1,FIFAWorldCup™Qualifier,0
10/10/2004,Angola,Zimbabwe,1,0,0,0,Luanda,1,FIFAWorldCup™Qualifier,0
10/10/2004,TrinidadandTobago,St.KittsandNevis,5,1,0,0,Marabella,1,FIFAWorldCup™Qualifier,0
10/10/2004,Liberia,Senegal,0,3,0,0,Monrovia,1,FIFAWorldCup™Qualifier,0
10/10/2004,Togo,Mali,1,0,0,0,Lome,1,FIFAWorldCup™Qualifier,0
10/10/2004,Benin,Côted'Ivoire,0,1,0,0,Cotonou,1,FIFAWorldCup™Qualifier,0
10/10/2004,St.Vincent/Grenadines,Mexico,0,1,0,0,Kingstown,1,FIFAWorldCup™Qualifier,0
10/10/2004,Uganda,SouthAfrica,0,1,0,0,Kampala,1,FIFAWorldCup™Qualifier,0
10/10/2004,Guinea,Morocco,1,1,0,0,Conakry,1,FIFAWorldCup™Qualifier,0
10/10/2004,Ecuador,Chile,2,0,0,0,Quito,1,FIFAWorldCup™Qualifier,0
12/10/2004,Bolivia,Uruguay,0,0,0,0,LaPaz,1,FIFAWorldCup™Qualifier,0
12/10/2004,Indonesia,SaudiArabia,1,3,0,0,Jakarta,1,FIFAWorldCup™Qualifier,0
12/10/2004,Australia,SolomonIslands,6,0,0,0,Sydney,1,ContinentalFinal,0
13/10/2004,Tajikistan,Kyrgyzstan,2,1,0,0,Dushanbe,1,FIFAWorldCup™Qualifier,0
13/10/2004,Andorra,FYRMacedonia,1,0,0,0,AndorraLaVella,1,FIFAWorldCup™Qualifier,0
13/10/2004,KoreaDPR,Yemen,2,1,0,0,Pyongyang,1,FIFAWorldCup™Qualifier,0
13/10/2004,Maldives,Vietnam,3,0,0,0,Male,1,FIFAWorldCup™Qualifier,0
13/10/2004,Paraguay,Peru,1,1,0,0,Asuncion,1,FIFAWorldCup™Qualifier,0
13/10/2004,Laos,Jordan,2,3,0,0,Vientiane,1,FIFAWorldCup™Qualifier,0
13/10/2004,Iraq,Uzbekistan,1,2,0,0,Amman,0,FIFAWorldCup™Qualifier,0
13/10/2004,Syria,Bahrain,2,2,0,0,Damascus,1,FIFAWorldCup™Qualifier,0
13/10/2004,Lebanon,KoreaRepublic,1,1,0,0,Beirut,1,FIFAWorldCup™Qualifier,0
13/10/2004,Latvia,Estonia,2,2,0,0,Riga,1,FIFAWorldCup™Qualifier,0
13/10/2004,Bulgaria,Malta,4,1,0,0,Sofia,1,FIFAWorldCup™Qualifier,0
13/10/2004,Iceland,Sweden,1,4,0,0,Reykjavik,1,FIFAWorldCup™Qualifier,0
13/10/2004,Oman,Japan,0,1,0,0,Muscat,1,FIFAWorldCup™Qualifier,0
13/10/2004,Kuwait,ChinaPR,1,0,0,0,KuwaitCity,1,FIFAWorldCup™Qualifier,0
13/10/2004,Thailand,UnitedArabEmirates,3,0,0,0,Bangkok,1,FIFAWorldCup™Qualifier,0
13/10/2004,Norway,Slovenia,3,0,0,0,Oslo,1,FIFAWorldCup™Qualifier,0
13/10/2004,Jamaica,ElSalvador,0,0,0,0,Kingston,1,FIFAWorldCup™Qualifier,0
13/10/2004,Canada,CostaRica,1,3,0,0,Vancouver,1,FIFAWorldCup™Qualifier,0
13/10/2004,Ukraine,Georgia,2,0,0,0,Lviv,1,FIFAWorldCup™Qualifier,0
13/10/2004,Qatar,Iran,2,3,0,0,Doha,1,FIFAWorldCup™Qualifier,0
13/10/2004,Singapore,India,2,0,0,0,Singapore,1,FIFAWorldCup™Qualifier,0
13/10/2004,RepublicofIreland,FaroeIslands,2,0,0,0,Dublin,1,FIFAWorldCup™Qualifier,0
13/10/2004,USA,Panama,6,0,0,0,WashingtonDc,1,FIFAWorldCup™Qualifier,0
13/10/2004,NorthernIreland,Austria,3,3,0,0,Belfast,1,FIFAWorldCup™Qualifier,0
13/10/2004,Chile,Argentina,0,0,0,0,SantiagoDeChile,1,FIFAWorldCup™Qualifier,0
13/10/2004,HongKong,Malaysia,2,0,0,0,HongKong,1,FIFAWorldCup™Qualifier,0
13/10/2004,Luxembourg,Liechtenstein,0,4,0,0,Luxembourg,1,FIFAWorldCup™Qualifier,0
13/10/2004,Wales,Poland,2,3,0,0,Cardiff,1,FIFAWorldCup™Qualifier,0
13/10/2004,SerbiaandMontenegro,SanMarino,5,0,0,0,Belgrade,0,FIFAWorldCup™Qualifier,0
13/10/2004,Kazakhstan,Albania,0,1,0,0,Almaty,1,FIFAWorldCup™Qualifier,0
13/10/2004,Denmark,Turkey,1,1,0,0,Copenhagen,1,FIFAWorldCup™Qualifier,0
13/10/2004,Guatemala,Honduras,1,0,0,0,GuatemalaCity,1,FIFAWorldCup™Qualifier,0
13/10/2004,St.KittsandNevis,St.Vincent/Grenadines,0,3,0,0,Basseterre,1,FIFAWorldCup™Qualifier,0
13/10/2004,Armenia,CzechRepublic,0,3,0,0,Yerevan,1,FIFAWorldCup™Qualifier,0
13/10/2004,Netherlands,Finland,3,1,0,0,Amsterdam,1,FIFAWorldCup™Qualifier,0
13/10/2004,Mexico,TrinidadandTobago,3,0,0,0,Puebla,1,FIFAWorldCup™Qualifier,0
13/10/2004,Italy,Belarus,4,3,0,0,Parma,1,FIFAWorldCup™Qualifier,0
13/10/2004,Moldova,Scotland,1,1,0,0,Chisinau,1,FIFAWorldCup™Qualifier,0
13/10/2004,Portugal,Russia,7,1,0,0,Lisbon,1,FIFAWorldCup™Qualifier,0
13/10/2004,Lithuania,Spain,0,0,0,0,Vilnius,1,FIFAWorldCup™Qualifier,0
13/10/2004,Azerbaijan,England,0,1,0,0,Baku,1,FIFAWorldCup™Qualifier,0
13/10/2004,Cyprus,France,0,2,0,0,Nicosia,1,FIFAWorldCup™Qualifier,0
13/10/2004,Brazil,Colombia,0,0,0,0,Maceio,1,FIFAWorldCup™Qualifier,0
14/10/2004,ChineseTaipei,Palestine,0,1,0,0,Taipei,1,FIFAWorldCup™Qualifier,0
14/10/2004,Venezuela,Ecuador,3,1,0,0,SanCristobal,1,FIFAWorldCup™Qualifier,0
17/10/2004,St.Lucia,Grenada,3,1,0,0,Castries,1,Friendly,0
20/10/2004,Ecuador,Jordan,0,3,0,0,Tripoli,0,Friendly,0
20/10/2004,Libya,Nigeria,2,1,0,0,Tripoli,1,Friendly,0
22/10/2004,Libya,Jordan,1,0,0,0,Tripoli,1,Friendly,0
22/10/2004,Nigeria,Ecuador,2,2,0,2,Tripoli,0,Friendly,0
24/10/2004,Zimbabwe,Zambia,0,0,1,2,Harare,1,Friendly,0
27/10/2004,Mexico,Ecuador,2,1,0,0,NewYork/NewJersey,0,Friendly,0
31/10/2004,St.KittsandNevis,Montserrat,6,1,0,0,Basseterre,1,ContinentalQualifier,0
01/11/2004,Yemen,Zambia,2,2,0,0,Dubai,0,Friendly,0
02/11/2004,Montserrat,AntiguaandBarbuda,4,5,0,0,Basseterre,0,ContinentalQualifier,0
02/11/2004,St.KittsandNevis,St.Lucia,1,1,0,0,Basseterre,1,ContinentalQualifier,0
04/11/2004,St.Lucia,Montserrat,3,0,0,0,Basseterre,0,ContinentalQualifier,0
04/11/2004,St.KittsandNevis,AntiguaandBarbuda,2,0,0,0,Basseterre,1,ContinentalQualifier,0
05/11/2004,Kuwait,India,2,3,0,0,KuwaitCity,1,Friendly,0
06/11/2004,AntiguaandBarbuda,St.Lucia,1,2,0,0,Basseterre,0,ContinentalQualifier,0
10/11/2004,Kuwait,Kyrgyzstan,3,0,0,0,KuwaitCity,1,Friendly,0
10/11/2004,Mexico,Guatemala,2,0,0,0,SanAntonio,0,Friendly,0
11/11/2004,UnitedArabEmirates,Jordan,4,0,0,0,AbuDhabi,1,Friendly,0
13/11/2004,Guatemala,Bolivia,1,0,0,0,WashingtonDc,0,Friendly,0
13/11/2004,St.Vincent/Grenadines,Grenada,6,2,0,0,Kingstown,1,Friendly,0
13/11/2004,St.KittsandNevis,Mexico,0,5,0,0,Miami,0,FIFAWorldCup™Qualifier,0
16/11/2004,RepublicofIreland,Croatia,1,0,0,0,Dublin,1,Friendly,0
16/11/2004,Iraq,Palestine,4,1,0,0,Doha,0,FIFAWorldCup™Qualifier,0
16/11/2004,Australia,Norway,2,2,0,0,London,0,Friendly,0
17/11/2004,France,Poland,0,0,0,0,Saint-Denis,1,Friendly,0
17/11/2004,Algeria,Senegal,1,2,0,0,Toulon,0,Friendly,0
17/11/2004,SouthAfrica,Nigeria,2,1,0,0,Johannesburg,1,Friendly,0
17/11/2004,Spain,England,1,0,0,0,Madrid,1,Friendly,0
17/11/2004,Morocco,BurkinaFaso,4,0,0,0,Rabat,1,Friendly,0
17/11/2004,Slovakia,Slovenia,0,0,0,0,Trnava,1,Friendly,0
17/11/2004,Azerbaijan,Bulgaria,0,0,0,0,Baku,1,Friendly,0
17/11/2004,Ecuador,Brazil,1,0,0,0,Quito,1,FIFAWorldCup™Qualifier,0
17/11/2004,Uzbekistan,ChineseTaipei,6,1,0,0,Tashkent,1,FIFAWorldCup™Qualifier,0
17/11/2004,Kuwait,Malaysia,6,1,0,0,KuwaitCity,1,FIFAWorldCup™Qualifier,0
17/11/2004,Kenya,Guinea,2,1,0,0,Nairobi,1,FIFAWorldCup™Qualifier,0
17/11/2004,Syria,Kyrgyzstan,0,1,0,0,Damascus,1,FIFAWorldCup™Qualifier,0
17/11/2004,Honduras,CostaRica,0,0,0,0,SanPedroSula,1,FIFAWorldCup™Qualifier,0
17/11/2004,FYRMacedonia,CzechRepublic,0,2,0,0,Skopje,1,FIFAWorldCup™Qualifier,0
17/11/2004,Colombia,Bolivia,1,0,0,0,Barranquilla,1,FIFAWorldCup™Qualifier,0
17/11/2004,Oman,India,0,0,0,0,Muscat,1,FIFAWorldCup™Qualifier,0
17/11/2004,Bahrain,Tajikistan,4,0,0,0,Manama,1,FIFAWorldCup™Qualifier,0
17/11/2004,Lebanon,Vietnam,0,0,0,0,Beirut,1,FIFAWorldCup™Qualifier,0
17/11/2004,UnitedArabEmirates,KoreaDPR,1,0,0,0,Dubai,1,FIFAWorldCup™Qualifier,0
17/11/2004,Qatar,Jordan,2,0,0,0,Doha,1,FIFAWorldCup™Qualifier,0
17/11/2004,Thailand,Yemen,1,1,0,0,Bangkok,1,FIFAWorldCup™Qualifier,0
17/11/2004,Armenia,Romania,1,1,0,0,Yerevan,1,FIFAWorldCup™Qualifier,0
17/11/2004,Liechtenstein,Latvia,1,3,0,0,Vaduz,1,FIFAWorldCup™Qualifier,0
17/11/2004,Russia,Estonia,4,0,0,0,Krasnodar,1,FIFAWorldCup™Qualifier,0
17/11/2004,Cyprus,Israel,1,2,0,0,Nicosia,1,FIFAWorldCup™Qualifier,0
17/11/2004,TrinidadandTobago,St.Vincent/Grenadines,2,1,0,0,PortOfSpain,1,FIFAWorldCup™Qualifier,0
17/11/2004,Japan,Singapore,1,0,0,0,Saitama,1,FIFAWorldCup™Qualifier,0
17/11/2004,Iran,Laos,7,0,0,0,Tehran,1,FIFAWorldCup™Qualifier,0
17/11/2004,Indonesia,Turkmenistan,3,1,0,0,Jakarta,1,FIFAWorldCup™Qualifier,0
17/11/2004,Malta,Hungary,0,2,0,0,Ta'Qali,1,FIFAWorldCup™Qualifier,0
17/11/2004,USA,Jamaica,1,1,0,0,Columbus,1,FIFAWorldCup™Qualifier,0
17/11/2004,Panama,ElSalvador,3,0,0,0,PanamaCity,1,FIFAWorldCup™Qualifier,0
17/11/2004,Peru,Chile,2,1,0,0,Lima,1,FIFAWorldCup™Qualifier,0
17/11/2004,KoreaRepublic,Maldives,2,0,0,0,Seoul,1,FIFAWorldCup™Qualifier,0
17/11/2004,SaudiArabia,SriLanka,3,0,0,0,Dammam,1,FIFAWorldCup™Qualifier,0
17/11/2004,Luxembourg,Portugal,0,5,0,0,Luxembourg,1,FIFAWorldCup™Qualifier,0
17/11/2004,Scotland,Sweden,1,4,0,0,Edinburgh,1,Friendly,0
17/11/2004,Belgium,SerbiaandMontenegro,0,2,0,0,Brussels,1,FIFAWorldCup™Qualifier,0
17/11/2004,Guatemala,Canada,0,1,0,0,GuatemalaCity,1,FIFAWorldCup™Qualifier,0
17/11/2004,Andorra,Netherlands,0,3,0,0,Barcelona,0,FIFAWorldCup™Qualifier,0
17/11/2004,SanMarino,Lithuania,0,1,0,0,Serravalle,1,FIFAWorldCup™Qualifier,0
17/11/2004,Turkey,Ukraine,0,3,0,0,Istanbul,1,FIFAWorldCup™Qualifier,0
17/11/2004,Italy,Finland,1,0,0,0,Messina,1,Friendly,0
17/11/2004,Germany,Cameroon,3,0,0,0,Leipzig,1,Friendly,0
17/11/2004,Uruguay,Paraguay,1,0,0,0,Montevideo,1,FIFAWorldCup™Qualifier,0
17/11/2004,ChinaPR,HongKong,7,0,0,0,Guangzhou,1,FIFAWorldCup™Qualifier,0
17/11/2004,Georgia,Denmark,2,2,0,0,Tbilisi,1,FIFAWorldCup™Qualifier,0
17/11/2004,Mexico,St.KittsandNevis,8,0,0,0,Monterrey,1,FIFAWorldCup™Qualifier,0
17/11/2004,Greece,Kazakhstan,3,1,0,0,Piraeus,1,FIFAWorldCup™Qualifier,0
17/11/2004,Argentina,Venezuela,3,2,0,0,BuenosAires,1,FIFAWorldCup™Qualifier,0
20/11/2004,Zambia,Angola,0,0,0,2,Lusaka,1,Friendly,0
20/11/2004,Grenada,St.Vincent/Grenadines,3,2,0,0,Gouyave,1,Friendly,0
22/11/2004,UnitedArabEmirates,Belarus,2,3,0,0,Dubai,1,Friendly,0
24/11/2004,CaymanIslands,Bermuda,1,2,0,0,Kingstown,0,ContinentalQualifier,0
24/11/2004,St.Vincent/Grenadines,BritishVirginIslands,1,1,0,0,Kingstown,1,ContinentalQualifier,0
24/11/2004,Haiti,USVirginIslands,11,0,0,0,Kingston,0,ContinentalQualifier,0
24/11/2004,TrinidadandTobago,PuertoRico,5,0,0,0,Macoya,1,ContinentalQualifier,0
24/11/2004,Grenada,Suriname,2,2,0,0,Macoya,0,ContinentalQualifier,0
26/11/2004,BritishVirginIslands,CaymanIslands,0,1,0,0,Kingstown,0,ContinentalQualifier,0
26/11/2004,St.Vincent/Grenadines,Bermuda,3,3,0,0,Kingstown,1,ContinentalQualifier,0
26/11/2004,Suriname,PuertoRico,1,1,0,0,Macoya,0,ContinentalQualifier,0
26/11/2004,Jamaica,USVirginIslands,11,1,0,0,Kingston,1,ContinentalQualifier,0
26/11/2004,TrinidadandTobago,Grenada,2,0,0,0,Macoya,1,ContinentalQualifier,0
27/11/2004,UnitedArabEmirates,Kuwait,0,1,0,0,AbuDhabi,1,Friendly,0
27/11/2004,Singapore,Myanmar,1,0,0,0,Singapore,1,Friendly,0
28/11/2004,BritishVirginIslands,Bermuda,2,0,0,0,Kingstown,0,ContinentalQualifier,0
28/11/2004,PuertoRico,Grenada,2,5,0,0,Macoya,0,ContinentalQualifier,0
28/11/2004,St.Vincent/Grenadines,CaymanIslands,4,0,0,0,Kingstown,1,ContinentalQualifier,0
28/11/2004,TrinidadandTobago,Suriname,1,0,0,0,Macoya,1,ContinentalQualifier,0
28/11/2004,Jamaica,Haiti,3,1,0,0,Kingston,1,ContinentalQualifier,0
29/11/2004,Egypt,Bulgaria,1,1,0,0,Cairo,1,Friendly,0
30/11/2004,Thailand,Estonia,0,0,0,1,Bangkok,1,Friendly,0
30/11/2004,Hungary,Slovakia,0,1,0,0,Bangkok,0,Friendly,0
30/11/2004,Singapore,HongKong,0,0,0,1,Singapore,1,Friendly,0
01/12/2004,Latvia,Oman,2,3,0,0,Manama,0,Friendly,0
01/12/2004,Qatar,Lebanon,4,1,0,0,Doha,1,Friendly,0
01/12/2004,Bahrain,Finland,1,2,0,0,Manama,1,Friendly,0
02/12/2004,Hungary,Estonia,5,0,0,0,Bangkok,0,Friendly,0
02/12/2004,Thailand,Slovakia,1,1,0,2,Bangkok,1,Friendly,0
02/12/2004,HongKong,Myanmar,2,2,0,0,Singapore,0,Friendly,0
03/12/2004,Iraq,Yemen,3,1,0,0,Dubai,0,Friendly,0
03/12/2004,Bahrain,Latvia,2,2,1,1,Manama,1,Friendly,0
03/12/2004,UnitedArabEmirates,Kuwait,1,1,0,0,Dubai,1,Friendly,0
03/12/2004,Finland,Oman,0,0,1,2,Manama,0,Friendly,0
05/12/2004,Qatar,Yemen,3,0,0,0,Doha,1,Friendly,0
06/12/2004,Kuwait,Tajikistan,3,0,0,0,KuwaitCity,1,Friendly,0
07/12/2004,Laos,Indonesia,0,6,0,0,HoChiMinhCity,0,Friendly,0
07/12/2004,Vietnam,Singapore,1,1,0,0,HoChiMinhCity,1,Friendly,0
08/12/2004,Philippines,Myanmar,0,1,0,0,KualaLumpur,0,Friendly,0
09/12/2004,Indonesia,Singapore,0,0,0,0,HoChiMinhCity,0,Friendly,0
09/12/2004,Vietnam,Cambodia,9,1,0,0,HoChiMinhCity,1,Friendly,0
10/12/2004,Malaysia,Philippines,4,1,0,0,KualaLumpur,1,Friendly,0
10/12/2004,Thailand,Myanmar,1,1,0,0,KualaLumpur,0,Friendly,0
10/12/2004,Iraq,Oman,1,3,0,0,Doha,0,Friendly,0
10/12/2004,Qatar,UnitedArabEmirates,2,2,0,0,Doha,1,Friendly,0
11/12/2004,Laos,Cambodia,2,1,0,0,Hanoi,0,Friendly,0
11/12/2004,Vietnam,Indonesia,0,3,0,0,Hanoi,1,Friendly,0
11/12/2004,Ethiopia,Burundi,2,1,0,0,AddisAbeba,1,Friendly,0
11/12/2004,Bahrain,Yemen,1,1,0,0,Doha,0,Friendly,0
11/12/2004,SaudiArabia,Kuwait,1,2,0,0,Doha,0,Friendly,0
