p=1 p_inf=0.1 time series=0,1,9,17
Format is t, #suscepted, #infected, #recovered
1465 499 91 410
1466 561 126 313
1467 548 175 277
1468 503 260 237
1469 412 360 228
1470 312 478 210
1471 195 600 205
1472 124 730 146
1473 87 785 128
1474 55 787 158
1475 38 770 192
1476 33 702 265
1477 36 607 357
1478 41 486 473
1479 43 359 598
1480 57 227 716
1481 89 158 753
1482 126 124 750
1483 208 104 688
1484 292 90 618
1485 380 101 519
1486 469 134 397
1487 525 172 303
1488 489 248 263
1489 409 353 238
1490 305 467 228
1491 213 591 196
1492 137 697 166
1493 91 762 147
1494 63 775 162
1495 45 765 190
1496 37 707 256
1497 33 610 357
1498 35 500 465
1499 39 374 587
1500 58 264 678
1501 93 180 727
1502 122 132 746
1503 195 113 692
1504 285 98 617
1505 375 105 520
1506 464 125 411
1507 507 162 331
1508 481 229 290
1509 408 339 253
1510 300 460 240
1511 213 587 200
1512 132 689 179
1513 94 763 143
1514 60 781 159
1515 42 778 180
1516 27 729 244
1517 23 634 343
1518 37 517 446
1519 40 376 584
1520 51 271 678
1521 77 186 737
1522 115 142 743
1523 169 107 724
1524 260 102 638
1525 355 106 539
1526 447 128 425
1527 470 177 353
1528 449 259 292
1529 391 365 244
1530 302 467 231
1531 202 591 207
1532 141 696 163
1533 94 753 153
1534 62 778 160
1535 41 761 198
1536 37 700 263
1537 30 598 372
1538 37 503 460
1539 41 372 587
1540 58 263 679
1541 85 189 726
1542 125 137 738
1543 194 114 692
1544 294 106 600
1545 376 108 516
1546 459 121 420
1547 503 169 328
1548 496 234 270
1549 438 315 247
1550 347 425 228
1551 267 539 194
1552 176 627 197
1553 105 716 179
1554 65 774 161
1555 53 766 181
1556 35 713 252
1557 28 650 322
1558 33 547 420
1559 43 428 529
1560 47 330 623
1561 68 237 695
1562 108 158 734
1563 178 126 696
1564 244 109 647
1565 320 106 574
1566 393 133 474
1567 434 179 387
1568 449 236 315
1569 430 314 256
1570 360 412 228
1571 256 514 230
1572 187 635 178
1573 125 707 168
1574 76 742 182
1575 56 745 199
1576 52 708 240
1577 40 634 326
1578 41 548 411
1579 32 445 523
1580 45 333 622
1581 78 248 674
1582 116 180 704
1583 166 139 695
1584 233 126 641
1585 299 133 568
1586 368 153 479
1587 424 187 389
1588 425 243 332
1589 389 327 284
1590 342 431 227
1591 236 519 245
1592 161 638 201
1593 118 706 176
1594 82 729 189
1595 73 731 196
1596 59 684 257
1597 43 614 343
1598 46 526 428
1599 49 435 516
1600 66 313 621
1601 94 228 678
1602 126 177 697
1603 193 143 664
1604 256 123 621
1605 332 130 538
1606 394 142 464
1607 473 171 356
1608 474 214 312
1609 419 298 283
1610 339 404 257
1611 251 518 231
1612 177 626 197
1613 126 693 181
1614 88 732 180
1615 69 741 190
1616 47 717 236
1617 40 655 305
1618 44 556 400
1619 38 438 524
1620 58 336 606
1621 84 249 667
1622 108 184 708
1623 146 151 703
1624 212 137 651
1625 301 133 566
1626 380 143 477
1627 422 182 396
1628 426 242 332
1629 382 325 293
1630 324 434 242
1631 236 525 239
1632 167 627 206
1633 115 700 185
1634 70 742 188
1635 51 748 201
1636 40 707 253
1637 35 635 330
1638 40 531 429
1639 49 435 516
1640 66 324 610
1641 81 234 685
1642 111 177 712
1643 167 141 692
1644 239 126 635
1645 327 126 547
1646 387 142 471
1647 421 178 401
1648 427 255 318
1649 380 339 281
1650 309 443 248
