p=0.25 p_inf=0.1 time series=0,1,9,17
Format is t, #suscepted, #infected, #recovered
536 43 439 518
537 47 312 641
538 75 218 707
539 109 151 740
540 167 101 732
541 251 90 659
542 339 88 573
543 427 105 468
544 506 134 360
545 540 182 278
546 515 242 243
547 451 334 215
548 337 448 215
549 205 573 222
550 124 707 169
551 77 771 152
552 45 789 166
553 35 773 192
554 29 723 248
555 27 637 336
556 25 525 450
557 39 402 559
558 64 254 682
559 91 165 744
560 133 120 747
561 190 94 716
562 266 87 647
563 361 97 542
564 445 114 441
565 541 153 306
566 533 205 262
567 455 302 243
568 360 425 215
569 250 546 204
570 163 663 174
571 93 740 167
572 56 793 151
573 38 791 171
574 29 757 214
575 30 669 301
576 32 545 423
577 36 422 542
578 54 301 645
579 73 206 721
580 112 134 754
581 158 97 745
582 240 85 675
583 346 91 563
584 437 109 454
585 517 141 342
586 534 182 284
587 497 260 243
588 402 369 229
589 289 501 210
590 172 626 202
591 97 737 166
592 66 794 140
593 46 793 161
594 27 772 201
595 25 713 262
596 26 606 368
597 29 473 498
598 40 345 615
599 61 223 716
600 92 145 763
601 133 115 752
602 202 95 703
603 304 85 611
604 408 90 502
605 504 119 377
606 574 151 275
607 579 203 218
608 499 276 225
609 418 386 196
610 321 487 192
611 211 594 195
612 125 699 176
613 74 756 170
614 45 775 180
615 28 752 220
616 27 696 277
617 26 587 387
618 31 487 482
619 39 375 586
620 68 262 670
621 103 176 721
622 150 122 728
623 210 98 692
624 312 94 594
625 395 101 504
626 475 118 407
627 534 150 316
628 535 204 261
629 474 289 237
630 364 404 232
631 243 538 219
632 156 663 181
633 102 743 155
634 65 780 155
635 46 785 169
636 31 750 219
637 20 680 300
638 28 576 396
639 42 434 524
640 52 295 653
641 80 205 715
642 109 140 751
643 158 106 736
644 232 92 676
645 332 88 580
646 440 92 468
647 525 126 349
648 537 180 283
649 485 258 257
650 413 375 212
651 298 481 221
652 207 610 183
653 134 705 161
654 62 774 164
655 41 812 147
656 32 779 189
657 24 710 266
658 26 601 373
659 27 493 480
660 34 363 603
661 46 261 693
662 76 180 744
663 127 112 761
664 200 94 706
665 305 90 605
666 395 94 511
667 491 112 397
668 541 146 313
669 551 198 251
670 508 269 223
671 413 380 207
672 292 493 215
673 172 618 210
674 103 734 163
675 71 785 144
676 54 783 163
677 36 748 216
678 32 695 273
679 31 588 381
680 32 476 492
681 41 350 609
682 60 225 715
683 93 155 752
684 148 124 728
685 214 104 682
686 312 91 597
687 414 100 486
688 506 110 384
689 577 144 279
690 551 198 251
691 471 294 235
692 368 405 227
693 247 528 225
694 152 662 186
695 76 748 176
696 49 814 137
697 27 807 166
698 22 775 203
699 27 684 289
700 26 568 406
701 31 446 523
702 48 307 645
703 61 204 735
704 97 125 778
705 149 96 755
706 243 76 681
707 358 73 569
708 465 74 461
709 581 89 330
